Mental Status,Study Hours per Week,Attendance Rate,Gender,Previous Physics average,Previous Chemistry average,Previous Mathematics  average,Extracurricular Activities,Family Support,failures,famrel,freetime,goout,Dalc,Walc,absences,guardian,schoolsup,paidClass,Parent Education Level
Normal,9.3,95.3,Male,53.23,50.61,60.6,No,Minimal Support,1,4.39,2,3,2,4,5,mother,yes,no,High school
Severe,17.6,76.8,Female,52.54,51.4,62.4,Yes,Minimal Support,1,4.38,3,3,4,1,4,mother,yes,no,High school
Moderate,8.8,89.3,Male,59.77,54.76,72.7,No,Minimal Support,1,3.27,3,3,1,1,2,father,yes,no,None
Moderate,8.8,73.8,Male,53.21,77.21,69.3,Yes,None,1,5.31,5,2,1,2,6,father,yes,no,Master
Moderate,17.9,38.6,Male,58.16,50.12,93.6,No,None,0,2.86,2,3,0,3,7,father,yes,no,Degree
Mild,13.8,95.8,Male,53.99,75.71,59.2,Yes,Minimal Support,0,2.72,4,4,2,1,6,other,yes,no,High school
Normal,7.7,100.1,Female,55.26,51.16,91.9,No,Minimal Support,2,3.37,3,3,2,1,2,mother,yes,no,None
Severe,12.7,38.4,Male,78.5,75.44,37.8,Yes,None,-1,1.83,4,0,0,1,17,mother,yes,no,Master
Normal,7.7,54.1,Female,37.34,45.45,72.3,No,None,0,3.2,3,2,1,2,2,mother,yes,no,High school
Mild,7.7,115.5,Male,79.84,61.54,41.2,Yes,Moderate Support,0,2.43,5,1,1,2,6,mother,yes,no,High school
Mild,11.2,79.6,Female,51.78,53.2,49.6,Yes,Minimal Support,0,4.8,4,4,0,1,2,father,yes,no,Diploma level
Mild,0.4,75.1,Male,54.4,58.42,50.4,nan,None,1,4.11,3,2,3,0,0,mother,yes,no,Diploma level
Mild,1.4,66.5,Male,68.11,41.58,49.2,No,None,1,4.68,3,4,2,3,3,father,yes,yes,Diploma level
Mild,7.2,54.4,Male,34.98,58.34,55.9,Yes,None,0,5.24,5,3,4,2,18,other,yes,no,High school
Mild,4.9,71.1,Female,55.91,62.87,98,Yes,None,0,3.68,4,4,1,3,12,mother,no,no,None
Moderate,11.6,94.5,Female,62.59,71.86,51.8,No,Minimal Support,0,3.78,3,3,2,3,4,mother,yes,no,NVQ qualified
Mild,5.5,74.7,Female,96.68,77.82,40.8,No,None,0,4.75,3,2,2,4,3,mother,yes,no,Degree
Moderate,2.9,87.2,Male,51.79,66.59,72.4,No,Minimal Support,1,5.05,4,3,1,0,4,father,no,no,Master
Normal,17.3,110.3,Male,51.88,59.14,68.6,No,Moderate Support,-1,4.85,5,3,2,2,1,father,yes,no,Degree
Normal,8.9,63.4,Male,58.04,58.14,98.2,No,None,0,4.5,3,2,2,4,10,mother,yes,yes,Degree
Normal,10.3,81.1,Female,35.58,48.67,64.4,No,Minimal Support,0,5.43,3,3,3,3,1,mother,yes,no,Diploma level
Moderate,2.9,95.1,Female,61.79,62.06,30.7,No,Minimal Support,1,4,3,5,1,2,15,mother,no,no,High school
Severe,7.3,56.3,Male,73.94,65.35,58.6,Yes,None,1,3.29,3,4,1,0,7,mother,yes,no,High school
Severe,4.2,112.4,Female,76.71,78.47,46.5,nan,Minimal Support,1,3.83,5,4,2,2,2,mother,yes,no,None
Severe,11.9,68.2,Male,68.58,66.51,56.6,Yes,None,0,3.99,4,3,1,2,3,mother,yes,yes,None
Severe,7,96.4,Male,52.91,66.99,62.8,Yes,Minimal Support,1,3.13,2,6,2,1,1,mother,yes,no,Diploma level
Normal,8.5,72.2,Male,60.22,75.23,64.1,No,None,0,5.52,4,4,-1,2,5,mother,yes,no,Diploma level
Mild,7,111,Female,39.42,39.06,44.3,No,Minimal Support,0,3.5,3,3,3,2,7,mother,yes,yes,NVQ qualified
Moderate,19.3,42.1,Male,43.81,55.64,74.1,Yes,None,-1,3.68,3,3,0,1,8,father,yes,no,Diploma level
Normal,9.9,76.3,Male,47.69,52.89,89.5,No,Minimal Support,0,4.18,4,4,2,3,5,mother,yes,no,Master
Normal,4.7,45.4,Female,51.73,52.87,69.2,No,None,0,3.73,4,3,2,3,5,father,yes,no,NVQ qualified
Mild,14.1,61,Male,58.91,39.03,81.6,No,None,1,3.83,4,2,1,4,9,father,yes,no,None
Severe,3.9,60.9,Female,62.96,63.55,67.7,Yes,None,0,3.44,2,3,1,2,2,mother,yes,no,None
Normal,11,69.7,Female,43.98,51.73,49.3,Yes,None,1,5.89,4,2,2,3,0,mother,yes,no,NVQ qualified
Moderate,0.2,51.2,Female,77.63,70.18,69.1,No,None,2,4.95,3,2,1,3,5,mother,yes,no,Degree
Mild,3.4,73.6,Female,69.68,70.19,57.5,Yes,None,0,4.55,2,3,1,6,17,other,yes,no,Degree
Normal,11,84.2,Male,63.94,70.48,48.4,No,Minimal Support,0,3.64,4,4,0,-1,0,mother,yes,no,Diploma level
Normal,10.9,62.3,Male,58.64,61.39,77.3,Yes,None,1,3.41,3,2,0,1,3,mother,yes,no,Master
Mild,9.4,125.8,Female,44.62,42.48,59.9,Yes,Moderate Support,1,4.74,4,3,1,1,7,father,yes,no,NVQ qualified
Mild,8.5,81.6,Female,69.98,68.56,94.1,Yes,Minimal Support,1,4.51,3,4,2,2,8,father,yes,no,Master
Mild,2.6,38.6,Male,46.22,49.17,79.3,No,None,2,4.29,2,3,2,-1,1,father,yes,no,Diploma level
Severe,6.4,47,Female,72,73.47,56.8,No,None,1,2.76,3,2,0,2,10,mother,yes,no,None
Mild,7.7,79.5,Female,66.94,44.23,56.3,No,Minimal Support,1,4.73,3,3,0,2,3,father,yes,no,Degree
Severe,15.3,77,Female,63.79,65.7,97.2,Yes,Minimal Support,0,5.56,3,5,0,1,0,mother,yes,no,High school
