Emotion,Time,Weather,Tempo_Min,Tempo_Max,Valence_Min,Valence_Max,Energy_Min,Energy_Max,Language,Playlist size,Playlist
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,English,5,2
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,English,4,12
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,4,6
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,English,5,7
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,3,16
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,English,3,16
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,3,8
Nervous,Morning,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3
Aggressive,Study,Rainy,70,100,0.45,0.6,0.4,0.55,English,4,6
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,11
Lazy,Evening,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,12
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,4,3
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,English,5,1
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,English,4,15
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,3,8
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,3,16
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,4,6
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,English,3,9
Aggressive,Study,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,3,8
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3
Lazy,Study,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,4,10
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,4,12
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,English,4,10
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,12
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,4,3
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,2,5
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,English,3,16
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,4,6
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,English,4,10
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,3,16
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,14
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,5,7
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,14
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,English,4,6
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,5,2
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,English,4,14
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,5,7
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,3,11
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,English,4,12
Lazy,Morning,Sunny,100,120,0.66,0.7,0.5,0.6,English,3,11
Aggressive,Study,Rainy,70,100,0.45,0.6,0.4,0.55,English,3,8
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,2,5
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,4,14
