Emotion,Climate,Time,Playlist
Aggressive,Cloudy,Night,16
Normal,Cloudy,Night,1
Aggressive,Cloudy,Morning,45
Tired & Sleepy,Sunny,Travelling time,41
Tired & Sleepy,Sunny,Night,41
Tired & Sleepy,Cloudy,Evening,30
Aggressive,Sunny,Travelling time,40
Aggressive,Cloudy,Evening,20
Aggressive,Cloudy,Night,20
Normal,Cloudy,Travelling time,2
Tired & Sleepy,Sunny,Night,35
Lazy & Nervous,Cloudy,Night,15
Aggressive,Sunny,Morning,16
Normal,Sunny,Evening,1
Aggressive,Cloudy,Tea time,45
Aggressive,Rainy,Night,16
Aggressive,Cloudy,Travelling time,17
Lazy & Nervous,Sunny,Evening,14
Aggressive,Cloudy,Tea time,17
Tired & Sleepy,Rainy,Night,36
Normal,Rainy,Morning,1
Lazy & Nervous,Cloudy,Evening,44
Tired & Sleepy,Sunny,Tea time,10
Normal,Cloudy,Evening,31
Aggressive,Sunny,Evening,18
Lazy & Nervous,Rainy,Tea time,37
Normal,Cloudy,Night,29
Normal,Rainy,Tea time,34
Normal,Cloudy,Tea time,44
Normal,Rainy,Night,3
Aggressive,Cloudy,Tea time,40
Normal,Sunny,Travelling time,42
Normal,Sunny,Evening,42
Normal,Rainy,Tea time,2
Normal,Rainy,Evening,31
Aggressive,Rainy,Night,39
Tired & Sleepy,Cloudy,Evening,7
Lazy & Nervous,Rainy,Travelling time,23
Lazy & Nervous,Sunny,Morning,12
Lazy & Nervous,Rainy,Night,23
Aggressive,Sunny,Morning,42
Lazy & Nervous,Cloudy,Evening,30
Tired & Sleepy,Sunny,Morning,6
Normal,Sunny,Evening,4
Aggressive,Cloudy,Travelling time,40
Tired & Sleepy,Cloudy,Travelling time,9
Tired & Sleepy,Sunny,Travelling time,6
Lazy & Nervous,Sunny,Tea time,24
Tired & Sleepy,Rainy,Tea time,8
Tired & Sleepy,Rainy,Tea time,21
Normal,Sunny,Evening,2
Normal,Sunny,Travelling time,32
Aggressive,Sunny,Evening,16
Normal,Rainy,Travelling time,1
Lazy & Nervous,Sunny,Night,38
Lazy & Nervous,Rainy,Morning,11
Tired & Sleepy,Rainy,Tea time,25
Lazy & Nervous,Rainy,Morning,15
Normal,Sunny,Morning,5
Lazy & Nervous,Sunny,Morning,14
Tired & Sleepy,Rainy,Evening,9
Lazy & Nervous,Cloudy,Night,14
Lazy & Nervous,Rainy,Tea time,24
Normal,Rainy,Morning,33
Tired & Sleepy,Sunny,Morning,42
Tired & Sleepy,Rainy,Evening,21
Lazy & Nervous,Cloudy,Morning,37
Aggressive,Rainy,Evening,19
Tired & Sleepy,Sunny,Evening,30
Normal,Rainy,Evening,23
Tired & Sleepy,Cloudy,Tea time,25
Aggressive,Sunny,Night,19
Normal,Sunny,Morning,27
Tired & Sleepy,Cloudy,Tea time,6
Tired & Sleepy,Cloudy,Morning,26
Normal,Sunny,Evening,42
Lazy & Nervous,Sunny,Evening,31
Normal,Sunny,Evening,3
Aggressive,Rainy,Travelling time,20
Tired & Sleepy,Cloudy,Tea time,44
Tired & Sleepy,Sunny,Tea time,8
Lazy & Nervous,Sunny,Travelling time,37
Tired & Sleepy,Cloudy,Tea time,36
Tired & Sleepy,Cloudy,Travelling time,10
Aggressive,Cloudy,Travelling time,32
Normal,Cloudy,Evening,33
Aggressive,Sunny,Tea time,20
Normal,Rainy,Night,5
Tired & Sleepy,Sunny,Morning,41
Normal,Cloudy,Evening,1
Normal,Rainy,Morning,5
Lazy & Nervous,Sunny,Night,14
