Emotion,Time,Weather,Tempo_Min,Tempo_Max,Valence_Min,Valence_Max,Energy_Min,Energy_Max,Language,Playlist size,Playlist,Final Playlist
Nervous,Morning,Rainy,60,90,0.5,0.65,0.4,0.55,English,5,2,5
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,English,4,12,20
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,4,6,1
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,English,5,7,2
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,3,16,11
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,English,3,16,10
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,3,8,1
Nervous,Morning,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3,6
Aggressive,Study,Rainy,70,100,0.45,0.6,0.4,0.55,English,4,6,7
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Sinhala,3,11,17
Lazy,Evening,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,19
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,4,3,10
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,English,5,1,8
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,English,4,15,9
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,English,3,8,1
Neutral,Morning,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,3,16,10
Aggressive,Night,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,4,6,6
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,English,3,9,17
Aggressive,Study,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,7
Nervous,Night,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3,10
Lazy,Study,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,4,10,4
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,20
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,2
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,English,4,10,17
Lazy,Morning,Rainy,100,120,0.66,0.7,0.5,0.6,Hindi,4,12,17
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,4,3,11
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,4,3,8
Aggressive,Morning,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,2,5,2
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,English,3,16,9
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,4,6,4
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4,9
Lazy,Evening,Sunny,100,120,0.66,0.7,0.5,0.6,English,4,10,20
Neutral,Evening,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,3,16,11
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,3,8,4
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,14,12
Aggressive,Morning,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,5,7,1
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,14,14
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,English,4,6,3
Nervous,Evening,Sunny,60,90,0.5,0.65,0.4,0.55,Sinhala,5,2,8
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,English,4,14,9
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,5,7,3
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,3,11,2
Lazy,Study,Rainy,100,120,0.66,0.7,0.5,0.6,English,4,12,3
Lazy,Morning,Sunny,100,120,0.66,0.7,0.5,0.6,English,3,11,18
Aggressive,Study,Rainy,70,100,0.45,0.6,0.4,0.55,English,3,8,7
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,Sinhala,2,5,8
Neutral,Evening,Sunny,90,110,0.5,0.65,0.5,0.6,Hindi,4,14,12
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,5,2,11
Nervous,Morning,Sunny,60,90,0.5,0.65,0.4,0.55,English,5,2,6
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,Hindi,4,10,2
Aggressive,Evening,Sunny,70,100,0.45,0.6,0.4,0.55,English,3,8,4
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,4,10,2
Lazy,Night,Sunny,100,120,0.66,0.7,0.5,0.6,English,3,9,2
Nervous,Evening,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,5,1,7
Nervous,Night,Rainy,60,90,0.5,0.65,0.4,0.55,Hindi,5,1,9
Lazy,Study,Sunny,100,120,0.66,0.7,0.5,0.6,Sinhala,4,12,4
Neutral,Study,Sunny,90,110,0.5,0.65,0.5,0.6,Sinhala,4,15,16
Aggressive,Study,Sunny,70,100,0.45,0.6,0.4,0.55,Hindi,4,6,8
Neutral,Study,Rainy,90,110,0.5,0.65,0.5,0.6,Sinhala,4,14,15
Neutral,Study,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,3,16,15
Neutral,Night,Sunny,90,110,0.5,0.65,0.5,0.6,English,4,14,14
Neutral,Morning,Rainy,90,110,0.5,0.65,0.5,0.6,Hindi,4,14,9
Aggressive,Evening,Rainy,70,100,0.45,0.6,0.4,0.55,Hindi,5,7,3
Nervous,Morning,Sunny,60,90,0.5,0.65,0.4,0.55,Hindi,4,4,6
Nervous,Study,Rainy,60,90,0.5,0.65,0.4,0.55,Sinhala,4,4,11
Aggressive,Night,Rainy,70,100,0.45,0.6,0.4,0.55,English,5,7,5
